frame,effective_expert_kl_coef,expert_kl_loss,expert_action_mse,approx_kl,entropy,actor_grad_norm,effective_actor_lr,effective_critic_lr,TP_loss
4915200,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.6694399972911924e-05,0.0005000000237487257,0.0008519220864400268
4980736,0.4000000059604645,0.0,0.0,0.0,-6.324245929718018,0.0,5.731699275202118e-05,0.0005000000237487257,0.002063190098851919
5046272,0.4000000059604645,0.7625887393951416,0.034316495060920715,0.1582760363817215,-6.321170806884766,0.1701953113079071,5.793958553113043e-05,0.0005000000237487257,0.00036097707925364375
5111808,0.4000000059604645,0.40522313117980957,0.018235040828585625,0.09672814607620239,-6.316980361938477,0.2345217615365982,5.856217467226088e-05,0.0005000000237487257,0.00010213431960437447
5177344,0.4000000059604645,0.33349862694740295,0.015007440000772476,0.08326685428619385,-6.312806606292725,0.20489884912967682,5.9184767451370135e-05,0.0005000000237487257,0.00016100279754027724
5242880,0.4000000059604645,0.2883791923522949,0.012977064587175846,0.05899354815483093,-6.308665752410889,0.28184974193573,5.980736023047939e-05,0.0005000000237487257,0.00048049172619357705
5308416,0.4000000059604645,0.25771790742874146,0.011597306467592716,0.04851790517568588,-6.304460525512695,0.28866106271743774,6.0429953009588644e-05,0.0005000000237487257,0.0007720322464592755
5373952,0.4000000059604645,0.19728951156139374,0.008878028020262718,0.010943525470793247,-6.299942493438721,57.35847091674805,6.10525457886979e-05,0.0005000000237487257,0.00087345129577443
5439488,0.4000000059604645,0.17458005249500275,0.007856102660298347,0.00647752033546567,-6.2963714599609375,61.074161529541016,6.167513492982835e-05,0.0005000000237487257,0.0024546533823013306
5505024,0.4000000059604645,0.18680723011493683,0.008406326174736023,0.022787369787693024,-6.2919392585754395,47.74452209472656,6.229773134691641e-05,0.0005000000237487257,0.0013433092972263694
5570560,0.4000000059604645,0.6311067342758179,0.02839980460703373,0.009789101779460907,-6.287120342254639,58.87405014038086,6.292032048804685e-05,0.0005000000237487257,0.00035273414687253535
5636096,0.4000000059604645,0.5331584811210632,0.023992132395505905,0.042059071362018585,-6.283467769622803,1.5709731578826904,6.35429096291773e-05,0.0005000000237487257,0.00017872128228191286
5701632,0.4000000059604645,0.28475138545036316,0.012813812121748924,0.008012315258383751,-6.278181552886963,45.73183059692383,6.416550604626536e-05,0.0005000000237487257,0.00023626578331459314
5767168,0.4000000059604645,0.22376078367233276,0.010069236159324646,0.0076381489634513855,-6.27466344833374,59.87128448486328,6.478809518739581e-05,0.0005000000237487257,0.0013800743035972118
5832704,0.4000000059604645,0.15570256114006042,0.007006615400314331,0.006083833985030651,-6.2712202072143555,63.3228645324707,6.541069160448387e-05,0.0005000000237487257,0.0013035066658630967
5898240,0.4000000059604645,0.18753615021705627,0.008439128287136555,0.008085343986749649,-6.266473770141602,61.34087371826172,6.603328074561432e-05,0.0005000000237487257,0.0011092108907178044
5963776,0.4000000059604645,0.9580009579658508,0.043110039085149765,0.00841519795358181,-6.263023376464844,53.62311553955078,6.665586988674477e-05,0.0005000000237487257,0.0012319082161411643
6029312,0.4000000059604645,0.5374791026115417,0.02418655902147293,0.04133940488100052,-6.258458614349365,1.5510890483856201,6.727846630383283e-05,0.0005000000237487257,0.00047332499525509775
6094848,0.4000000059604645,0.3698773682117462,0.01664448156952858,0.014785723760724068,-6.2554216384887695,46.08435821533203,6.790105544496328e-05,0.0005000000237487257,0.00036923098377883434
6160384,0.4000000059604645,0.23614616692066193,0.010626577772200108,0.007380693685263395,-6.250094890594482,46.46501159667969,6.852364458609372e-05,0.0005000000237487257,0.0011282578343525529
6225920,0.4000000059604645,0.21126164495944977,0.009506774134933949,0.012709174305200577,-6.245669364929199,50.69353485107422,6.914624100318179e-05,0.0005000000237487257,0.001359324436634779
6291456,0.4000000059604645,0.2198864221572876,0.00989488884806633,0.013149290345609188,-6.240140914916992,55.463043212890625,6.976883014431223e-05,0.0005000000237487257,0.0005255301366560161
6356992,0.4000000059604645,0.6387139558792114,0.028742128983139992,0.011384804733097553,-6.236377716064453,58.35008239746094,7.03914265614003e-05,0.0005000000237487257,0.0005272137932479382
6422528,0.4000000059604645,0.41721880435943604,0.018774844706058502,0.011085093952715397,-6.233413219451904,43.09078598022461,7.101401570253074e-05,0.0005000000237487257,0.0002133239759132266
6488064,0.4000000059604645,0.34890684485435486,0.01570080779492855,0.0077565014362335205,-6.230097770690918,45.02119445800781,7.163660484366119e-05,0.0005000000237487257,0.00021814802312292159
6553600,0.4000000059604645,0.200724259018898,0.009032591246068478,0.0108833322301507,-6.223791122436523,47.247825622558594,7.225920126074925e-05,0.0005000000237487257,0.0010953295277431607
6619136,0.4000000059604645,0.19870762526988983,0.008941843174397945,0.010282250121235847,-6.2208757400512695,45.52782440185547,7.28817904018797e-05,0.0005000000237487257,0.0027832170017063618
6684672,0.4000000059604645,0.7139075994491577,0.03212583810091019,0.007889728993177414,-6.21743106842041,81.12247467041016,7.350438681896776e-05,0.0005000000237487257,0.0003328068705741316
6750208,0.4000000059604645,0.31721287965774536,0.014274579472839832,0.013844689354300499,-6.213797569274902,79.53948974609375,7.412697596009821e-05,0.0005000000237487257,0.00010705085878726095
6815744,0.4000000059604645,0.4680040180683136,0.02106018364429474,0.005871598143130541,-6.2075300216674805,43.46889114379883,7.474956510122865e-05,0.0005000000237487257,0.00016698395484127104
6881280,0.4000000059604645,0.4666239619255066,0.02099807932972908,0.006528043188154697,-6.204080104827881,65.67516326904297,7.537216151831672e-05,0.0005000000237487257,0.0005578318377956748
6946816,0.4000000059604645,0.16883346438407898,0.007597506511956453,0.00790776964277029,-6.199952602386475,64.02412414550781,7.599475065944716e-05,0.0005000000237487257,0.0007955742767080665
7012352,0.4000000059604645,0.23087942600250244,0.01038957480341196,0.014041041024029255,-6.195796489715576,51.7528076171875,7.661734707653522e-05,0.0005000000237487257,0.000732571177650243
7077888,0.4000000059604645,0.17151200771331787,0.0077180415391922,0.006962511222809553,-6.191864967346191,63.31843948364258,7.723993621766567e-05,0.0005000000237487257,0.001865142723545432
7143424,0.4000000059604645,0.2021961510181427,0.009098827838897705,0.03546338528394699,-6.187111854553223,6.163241863250732,7.786252535879612e-05,0.0005000000237487257,0.0008461216930299997
7208960,0.4000000059604645,0.7294232845306396,0.03282405063509941,0.023464202880859375,-6.1822028160095215,34.84835433959961,7.848512177588418e-05,0.0005000000237487257,0.00026007211999967694
7274496,0.4000000059604645,0.3910857141017914,0.01759885810315609,0.032362937927246094,-6.178786277770996,4.8676252365112305,7.910771091701463e-05,0.0005000000237487257,0.00014540718984790146
7340032,0.4000000059604645,0.2846026122570038,0.012807117775082588,0.009822233580052853,-6.175050735473633,46.9747314453125,7.973030733410269e-05,0.0005000000237487257,0.00015295272169169039
7405568,0.4000000059604645,0.19179800152778625,0.008630909956991673,0.008337960578501225,-6.171734809875488,59.50429153442383,8.035289647523314e-05,0.0005000000237487257,0.0015010189963504672
7471104,0.4000000059604645,0.15450260043144226,0.006952617317438126,0.009019878692924976,-6.166458606719971,64.91107940673828,8.097548561636358e-05,0.0005000000237487257,0.002212917897850275
7536640,0.4000000059604645,0.17254126071929932,0.0077643562108278275,0.008542731404304504,-6.160843849182129,57.612464904785156,8.159808203345165e-05,0.0005000000237487257,0.0010311692021787167
7602176,0.4000000059604645,0.2423306256532669,0.010904879309237003,0.035714611411094666,-6.1577067375183105,1.549386739730835,8.22206711745821e-05,0.0005000000237487257,0.0006633774610236287
7667712,0.4000000059604645,0.8873823881149292,0.03993220627307892,0.010977010242640972,-6.152225971221924,52.814083099365234,8.284326759167016e-05,0.0005000000237487257,0.0003473284305073321
7733248,0.4000000059604645,0.46590128540992737,0.020965561270713806,0.012383454479277134,-6.1488118171691895,51.380577087402344,8.34658567328006e-05,0.0005000000237487257,0.0001769434893503785
7798784,0.4000000059604645,0.1791248321533203,0.008060616441071033,0.026383137330412865,-6.145327568054199,34.20498275756836,8.408844587393105e-05,0.0005000000237487257,0.0005867906147614121
7864320,0.4000000059604645,0.2094087302684784,0.0094233937561512,0.02544112130999565,-6.140354156494141,18.337841033935547,8.471104229101911e-05,0.0005000000237487257,0.0016486367676407099
